Room,Date,Units
101,01-07-2025,20
102,01-07-2025,13
103,01-07-2025,11
104,01-07-2025,11
105,01-07-2025,11
101,02-07-2025,10
102,02-07-2025,8
103,02-07-2025,11
104,02-07-2025,6
105,02-07-2025,19
101,03-07-2025,20
102,03-07-2025,11
103,03-07-2025,11
104,03-07-2025,5
105,03-07-2025,9
101,04-07-2025,12
102,04-07-2025,12
103,04-07-2025,7
104,04-07-2025,7
105,04-07-2025,17
101,05-07-2025,12
102,05-07-2025,6
103,05-07-2025,6
104,05-07-2025,5
105,05-07-2025,10
101,06-07-2025,7
102,06-07-2025,10
103,06-07-2025,9
104,06-07-2025,9
105,06-07-2025,5
101,07-07-2025,13
102,07-07-2025,17
103,07-07-2025,19
104,07-07-2025,10
105,07-07-2025,10
101,08-07-2025,7
102,08-07-2025,5
103,08-07-2025,20
104,08-07-2025,11
105,08-07-2025,15
101,09-07-2025,18
102,09-07-2025,11
103,09-07-2025,8
104,09-07-2025,17
105,09-07-2025,10
101,10-07-2025,13
102,10-07-2025,16
103,10-07-2025,8
104,10-07-2025,18
105,10-07-2025,8
101,11-07-2025,10
102,11-07-2025,11
103,11-07-2025,5
104,11-07-2025,13
105,11-07-2025,13
101,12-07-2025,5
102,12-07-2025,19
103,12-07-2025,10
104,12-07-2025,7
105,12-07-2025,16
101,13-07-2025,20
102,13-07-2025,15
103,13-07-2025,13
104,13-07-2025,18
105,13-07-2025,17
101,14-07-2025,9
102,14-07-2025,14
103,14-07-2025,7
104,14-07-2025,7
105,14-07-2025,11
101,15-07-2025,5
102,15-07-2025,19
103,15-07-2025,16
104,15-07-2025,16
105,15-07-2025,7
101,16-07-2025,13
102,16-07-2025,6
103,16-07-2025,10
104,16-07-2025,12
105,16-07-2025,7
101,17-07-2025,14
102,17-07-2025,5
103,17-07-2025,14
104,17-07-2025,6
105,17-07-2025,12
101,18-07-2025,8
102,18-07-2025,9
103,18-07-2025,16
104,18-07-2025,10
105,18-07-2025,15
101,19-07-2025,12
102,19-07-2025,20
103,19-07-2025,16
104,19-07-2025,11
105,19-07-2025,14
101,20-07-2025,7
102,20-07-2025,16
103,20-07-2025,17
104,20-07-2025,8
105,20-07-2025,19
101,21-07-2025,16
102,21-07-2025,7
103,21-07-2025,5
104,21-07-2025,8
105,21-07-2025,18
101,22-07-2025,5
102,22-07-2025,9
103,22-07-2025,15
104,22-07-2025,17
105,22-07-2025,13
101,23-07-2025,19
102,23-07-2025,17
103,23-07-2025,20
104,23-07-2025,15
105,23-07-2025,13
101,24-07-2025,10
102,24-07-2025,17
103,24-07-2025,12
104,24-07-2025,8
105,24-07-2025,16
101,25-07-2025,14
102,25-07-2025,10
103,25-07-2025,11
104,25-07-2025,8
105,25-07-2025,19
101,26-07-2025,5
102,26-07-2025,6
103,26-07-2025,13
104,26-07-2025,19
105,26-07-2025,9
101,27-07-2025,8
102,27-07-2025,5
103,27-07-2025,9
104,27-07-2025,8
105,27-07-2025,5
101,28-07-2025,11
102,28-07-2025,5
103,28-07-2025,9
104,28-07-2025,6
105,28-07-2025,19
101,29-07-2025,17
102,29-07-2025,6
103,29-07-2025,8
104,29-07-2025,18
105,29-07-2025,14
101,30-07-2025,5
102,30-07-2025,7
103,30-07-2025,17
104,30-07-2025,13
105,30-07-2025,15
101,31-07-2025,15
102,31-07-2025,11
103,31-07-2025,13
104,31-07-2025,7
105,31-07-2025,13
